ID,OFICIO
23518,DESS/DSS/023893/2020
23519,DESS/DSS/023894/2020
23520,DESS/DSS/023895/2020
23521,DESS/DSS/023896/2020
23522,DESS/DSS/023897/2020
23523,DESS/DSS/023898/2020
23524,DESS/DSS/023899/2020
23525,DESS/DSS/023900/2020
23526,DESS/DSS/023901/2020
23527,DESS/DSS/023902/2020
23528,DESS/DSS/023903/2020
23529,DESS/DSS/023904/2020
23530,DESS/DSS/023905/2020
23531,DESS/DSS/023906/2020
23532,DESS/DSS/023907/2020
23533,DESS/DSS/023908/2020
23534,DESS/DSS/023909/2020
23535,DESS/DSS/023910/2020
23536,DESS/DSS/023911/2020
23537,DESS/DSS/023912/2020
23538,DESS/DSS/023913/2020
23539,DESS/DSS/023914/2020
23540,DESS/DSS/023915/2020
23541,DESS/DSS/023916/2020
23542,DESS/DSS/023917/2020
23543,DESS/DSS/023918/2020
23544,DESS/DSS/023919/2020
23545,DESS/DSS/023920/2020
23546,DESS/DSS/023921/2020
23547,DESS/DSS/023922/2020
23548,DESS/DSS/023923/2020
23549,DESS/DSS/023924/2020
23550,DESS/DSS/023925/2020
23551,DESS/DSS/023926/2020
23552,DESS/DSS/023927/2020
23553,DESS/DSS/023928/2020
23554,DESS/DSS/023929/2020
23555,DESS/DSS/023930/2020
23556,DESS/DSS/023931/2020
23557,DESS/DSS/023932/2020
23558,DESS/DSS/023933/2020
23559,DESS/DSS/023934/2020
23560,DESS/DSS/023935/2020
23561,DESS/DSS/023936/2020
23562,DESS/DSS/023937/2020
23563,DESS/DSS/023938/2020
23564,DESS/DSS/023939/2020
23565,DESS/DSS/023940/2020
23566,DESS/DSS/023941/2020
23567,DESS/DSS/023942/2020
23568,DESS/DSS/023943/2020
23569,DESS/DSS/023944/2020
23570,DESS/DSS/023945/2020
23571,DESS/DSS/023946/2020
23572,DESS/DSS/023947/2020
23573,DESS/DSS/023948/2020
23574,DESS/DSS/023949/2020
23575,DESS/DSS/023950/2020
23576,DESS/DSS/023951/2020
23577,DESS/DSS/00170/2021
23578,DESS/DSS/00171/2021
23579,DESS/DSS/00172/2021
23580,DESS/DSS/00173/2021
23581,DESS/DSS/00174/2021
23582,DESS/DSS/00175/2021
23583,DESS/DSS/00176/2021
23584,DESS/DSS/00177/2021
23585,DESS/DSS/00178/2021
23586,DESS/DSS/024023/2020
23587,DESS/DSS/024024/2020
23588,DESS/DSS/024025/2020
23589,DESS/DSS/024026/2020
23590,DESS/DSS/024027/2020
23591,DESS/DSS/024028/2020
23592,DESS/DSS/024029/2020
23593,DESS/DSS/024030/2020
23594,DESS/DSS/024031/2020
23595,DESS/DSS/024032/2020
23596,DESS/DSS/024033/2020
23597,DESS/DSS/024034/2020
23598,DESS/DSS/024035/2020
23599,DESS/DSS/024036/2020
23600,DESS/DSS/024037/2020
23601,DESS/DSS/024038/2020
23602,DESS/DSS/024039/2020
23603,DESS/DSS/024040/2020
23604,DESS/DSS/024041/2020
23605,DESS/DSS/024042/2020
