ID,RELACION
23518,010
23519,021
23520,021
23521,021
23522,022
23523,018
23524,023
23525,024
23526,010
23527,025
23528,023
23529,023
23530,023
23531,023
23532,023
23533,023
23534,023
23535,023
23536,023
23537,023
23538,023
23539,023
23540,023
23541,023
23542,023
23543,023
23544,016
23545,016
23546,016
23547,016
23548,016
23549,026
23550,026
23551,026
23552,027
23553,003
23554,003
23555,001
23556,001
23557,001
23558,001
23559,001
23560,001
23561,001
23562,001
23563,001
23564,001
23565,001
23566,001
23567,001
23568,001
23569,001
23570,001
23571,001
23572,001
23573,001
23574,001
23575,002
23576,002
23577,001
23578,001
23579,001
23580,001
23581,001
23582,001
23583,001
23584,001
23585,001
23586,033
23587,033
23588,033
23589,034
23590,034
23591,035
23592,036
23593,028
23594,002
23595,002
23596,002
23597,002
23598,002
23599,002
23600,002
23601,002
23602,002
23603,002
23604,002
23605,002
